Titel,Preis,Produkt-URL,Bild-URL,Beschreibung,Alter_Preis,EAN,Auf_Lager,Kategorie,Artikel-Nr.
"Holzstuhl Nordic","149.99","https://shop.de/holzstuhl-nordic","https://shop.de/img/holzstuhl.jpg","Eleganter Holzstuhl im nordischen Design. Robuste Konstruktion aus massivem Buchenholz.","199.99","4012345678901","ja","Möbel / Stühle","SKU-001"
"Schreibtisch Pro 140","299.00","https://shop.de/schreibtisch-pro-140","https://shop.de/img/schreibtisch.jpg","Großer Schreibtisch mit Kabelmanagement und höhenverstellbarer Oberfläche.","349.00","4012345678902","ja","Möbel / Schreibtische","SKU-002"
"Stehlampe Loft","89.90","https://shop.de/stehlampe-loft","https://shop.de/img/stehlampe.jpg","Industrielle Stehlampe mit flexiblem Arm und E27 Fassung.","119.90","4012345678903","ja","Beleuchtung","SKU-003"
"Bücherregal Oslo 5-stufig","189.00","https://shop.de/buecherregal-oslo","https://shop.de/img/buecherregal.jpg","Modernes Bücherregal aus MDF mit 5 Ebenen. Einfache Montage.","229.00","4012345678904","ja","Möbel / Regale","SKU-004"
"Sofakissen Set 4er","34.99","https://shop.de/sofakissen-set","https://shop.de/img/sofakissen.jpg","Set aus 4 weichen Sofakissen in verschiedenen Farben. Maschinenwaschbar.","49.99","4012345678905","ja","Wohnaccessoires","SKU-005"
"Gaming Stuhl X500","399.00","https://shop.de/gaming-stuhl-x500","https://shop.de/img/gamingstuhl.jpg","Ergonomischer Gaming-Stuhl mit Lendenwirbelstütze und verstellbaren Armlehnen.","499.00","4012345678906","ja","Büro / Stühle","SKU-006"
"Fernseher 55 Zoll 4K","699.00","https://shop.de/tv-55-4k","https://shop.de/img/fernseher.jpg","55 Zoll 4K UHD Smart TV mit HDR und WLAN. Energieklasse F.","899.00","4012345678907","ja","Elektronik / TV","SKU-007"
"Bluetooth Lautsprecher Mini","49.99","https://shop.de/bt-lautsprecher","https://shop.de/img/lautsprecher.jpg","Wasserdichter Bluetooth-Lautsprecher mit 12 Stunden Akkulaufzeit.","69.99","4012345678908","ja","Elektronik / Audio","SKU-008"
"Kaffeemaschine Deluxe","129.00","https://shop.de/kaffeemaschine-deluxe","https://shop.de/img/kaffeemaschine.jpg","Vollautomatische Kaffeemaschine mit Milchaufschäumer und Timerfunktion.","179.00","4012345678909","nein","Küche / Geräte","SKU-009"
"Yogamatte Premium","29.90","https://shop.de/yogamatte-premium","https://shop.de/img/yogamatte.jpg","Rutschfeste Yogamatte aus umweltfreundlichem TPE-Material. 183 x 61 cm.","","4012345678910","ja","Sport / Fitness","SKU-010"
