external_id,title,description,price,old_price,category,image,url,in_stock
OT-1001,Samsung Galaxy S24 Ultra 256GB,"Flagship Smartphone mit 200MP Kamera, S Pen und 6,8 Zoll Display",1199.00,1299.00,Smartphones,https://images.samsung.com/de/smartphones/galaxy-s24-ultra/images/galaxy-s24-ultra-highlights-kv.jpg,https://www.otto.de/samsung-s24-ultra,1
OT-1002,LG OLED TV 55 Zoll 4K,"55 Zoll OLED Display mit Dolby Vision, HDR10 und WebOS",899.00,1099.00,Fernseher,https://www.lg.com/de/images/tvs/md07514070/gallery/medium01.jpg,https://www.otto.de/lg-oled-55,1
OT-1003,Apple MacBook Air M2 13 Zoll,"M2 Chip, 8GB RAM, 256GB SSD, 13,6 Zoll Retina Display",1099.00,1199.00,Laptops,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/macbook-air-midnight-select-20220606.jpg,https://www.otto.de/apple-macbook-air-m2,1
OT-1004,Philips Kaffeevollautomat EP3243,"Kaffeevollautomat mit LatteGo Milchsystem, 15 bar Druck",449.00,549.00,Kaffeemaschinen,https://www.philips.de/c-dam/b2c/category-pages/Domestic-appliances/coffee/EP3243.jpg,https://www.otto.de/philips-ep3243,1
OT-1005,Bosch Kühlschrank KGN39AIBT,"NoFrost Kühl-Gefrier-Kombination, 363L, Edelstahl, A+++",699.00,799.00,Kühlschränke,https://media3.bosch-home.com/Images/1200x/MCSA02478894_BO_KGN39AIBT_def.jpg,https://www.otto.de/bosch-kgn39aibt,1
OT-1006,Beurer BM 54 Blutdruckmessgerät,"Vollautomatisches Oberarm-Blutdruckmessgerät mit Arrhythmie-Erkennung",49.99,69.99,Blutdruckmessgeräte,https://www.beurer.com/media/catalog/product/b/m/bm54.jpg,https://www.otto.de/beurer-bm54,1
OT-1007,Sony WH-1000XM5 Kopfhörer,"Over-Ear Kopfhörer mit Noise Cancelling, 30 Std. Akku, Bluetooth 5.2",299.00,379.00,Kopfhörer,https://www.sony.de/image/5d02da5df552836db894cead731a2f58,https://www.otto.de/sony-wh1000xm5,1
OT-1008,iPad Air 5 64GB WiFi,"10,9 Zoll Liquid Retina Display, M1 Chip, 64GB, Touch ID",649.00,749.00,Tablets,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/ipad-air-select-wifi-blue-202203.jpg,https://www.otto.de/ipad-air-5,1
OT-1009,Medisana Massagekissen MC 822,"Shiatsu Massagekissen mit Wärmefunktion für Nacken und Rücken",39.99,59.99,Massagegeräte,https://www.medisana.de/media/image/product/1234/lg/medisana-mc-822.jpg,https://www.otto.de/medisana-mc822,1
OT-1010,Gartenliege Aluminium klappbar,"Wetterfeste Gartenliege aus Aluminium, höhenverstellbar, mit Auflage",129.00,179.00,Garten,https://images.otto.de/gartenliege-aluminium.jpg,https://www.otto.de/gartenliege-alu,1
OT-1011,Lenovo IdeaPad 3 15 Laptop,"Intel Core i5, 8GB RAM, 512GB SSD, 15,6 Zoll FHD Display",549.00,699.00,Laptops,https://p3-ofp.static.pub/ShareResource/na/ideapad/lenovo-ideapad-3-15itl6.png,https://www.otto.de/lenovo-ideapad3,1
OT-1012,Tefal Fritteuse EY701D Actifry,"Heißluftfritteuse 1,2kg Kapazität, automatisches Rühren, 1400W",99.00,149.00,Küche,https://www.tefal.de/medias/EY701D15.jpg,https://www.otto.de/tefal-actifry,1
OT-1013,Samsung 27 Zoll Monitor S27A400,"Full HD IPS Monitor, 75Hz, AMD FreeSync, HDMI, USB-C",199.00,249.00,Elektronik,https://images.samsung.com/de/monitors/ls27a400ujuxen/LS27A400UJUXEN_001_Front.jpg,https://www.otto.de/samsung-monitor-s27,1
OT-1014,Sessel mit Relaxfunktion,"Elektrischer TV Sessel mit Aufstehhilfe und Liegefunktion, Kunstleder",599.00,799.00,Möbel,https://images.otto.de/sessel-relaxfunktion.jpg,https://www.otto.de/sessel-relax,1
OT-1015,Oral-B iO Series 7 Elektrische Zahnbürste,"Elektrische Zahnbürste mit KI-Erkennung, 5 Putzmodi, Reiseetui",99.00,149.00,Gesundheit,https://oralb.de/images/io-series-7.jpg,https://www.otto.de/oralb-io7,1
